date,service_name,cpu,recieved_bytes,transmitted_bytes
1598325000000000000,srv0,1.463322e-02,3.975263e+04,7.617621e+04
1598325300000000000,srv0,1.499626e-02,4.334184e+04,7.686080e+04
1598325600000000000,srv0,1.450825e-02,3.618417e+04,7.746536e+04
1598325900000000000,srv0,1.515324e-02,3.890152e+04,7.792040e+04
1598326200000000000,srv0,1.537332e-02,4.218009e+04,8.145719e+04
1598326500000000000,srv0,1.615082e-02,4.955602e+04,8.441032e+04
1598326800000000000,srv0,1.579654e-02,3.842260e+04,8.369198e+04
1598327100000000000,srv0,1.631695e-02,4.726522e+04,8.654668e+04
1598327400000000000,srv0,1.665847e-02,4.441673e+04,8.757755e+04
1598327700000000000,srv0,1.704356e-02,5.473001e+04,9.053598e+04
1598328000000000000,srv0,1.779168e-02,4.783485e+04,9.476608e+04
1598328300000000000,srv0,1.817529e-02,5.328595e+04,9.926072e+04
1598328600000000000,srv0,1.854422e-02,4.243005e+04,1.006038e+05
1598328900000000000,srv0,1.900334e-02,5.029498e+04,1.041036e+05
1598329200000000000,srv0,1.893481e-02,5.134608e+04,1.038436e+05
1598329500000000000,srv0,1.951508e-02,5.735162e+04,1.068696e+05
1598329800000000000,srv0,2.014850e-02,5.391675e+04,1.094387e+05
1598330100000000000,srv0,2.053540e-02,5.506307e+04,1.134186e+05
1598330400000000000,srv0,2.071451e-02,5.033085e+04,1.152150e+05
1598330700000000000,srv0,2.134840e-02,6.038767e+04,1.167261e+05
1598331000000000000,srv0,2.197106e-02,5.876316e+04,1.232735e+05
1598331300000000000,srv0,2.256557e-02,6.695936e+04,1.256097e+05
1598331600000000000,srv0,2.392045e-02,6.306605e+04,1.353211e+05
1598331900000000000,srv0,2.461152e-02,6.625577e+04,1.372339e+05
1598332200000000000,srv0,2.475811e-02,5.888177e+04,1.400627e+05
1598332500000000000,srv0,2.608168e-02,7.285458e+04,1.487350e+05
1598332800000000000,srv0,2.664999e-02,7.064841e+04,1.515295e+05
1598333100000000000,srv0,2.739211e-02,7.921825e+04,1.555554e+05
1598333400000000000,srv0,2.810195e-02,7.448794e+04,1.637590e+05
1598333700000000000,srv0,2.922852e-02,8.040313e+04,1.672193e+05
1598334000000000000,srv0,2.991070e-02,7.660042e+04,1.738301e+05
1598334300000000000,srv0,3.091774e-02,8.011183e+04,1.776077e+05
1598334600000000000,srv0,3.127037e-02,8.075834e+04,1.835365e+05
1598334900000000000,srv0,3.222326e-02,8.371588e+04,1.896422e+05
1598335200000000000,srv0,3.475334e-02,9.138450e+04,2.048760e+05
1598335500000000000,srv0,3.583846e-02,9.904905e+04,2.166395e+05
1598335800000000000,srv0,3.707131e-02,9.622529e+04,2.194993e+05
1598336100000000000,srv0,3.714017e-02,1.012688e+05,2.207889e+05
1598336400000000000,srv0,3.878221e-02,1.002654e+05,2.303073e+05
1598336700000000000,srv0,3.913331e-02,1.030365e+05,2.318384e+05
1598337000000000000,srv0,4.022464e-02,1.028554e+05,2.479887e+05
1598337300000000000,srv0,4.115570e-02,1.080142e+05,2.469117e+05
1598337600000000000,srv0,4.197170e-02,1.098706e+05,2.565321e+05
1598337900000000000,srv0,4.302742e-02,1.180427e+05,2.594122e+05
1598338200000000000,srv0,4.446710e-02,1.179337e+05,2.739921e+05
1598338500000000000,srv0,4.583653e-02,1.225966e+05,2.766485e+05
1598338800000000000,srv0,4.761223e-02,1.242277e+05,2.932066e+05
1598339100000000000,srv0,4.941485e-02,1.387593e+05,3.096042e+05
1598339400000000000,srv0,5.116105e-02,1.351038e+05,3.210439e+05
1598339700000000000,srv0,5.212714e-02,1.353214e+05,3.230407e+05
1598340000000000000,srv0,5.388900e-02,1.381466e+05,3.398332e+05
1598340300000000000,srv0,5.335948e-02,1.401582e+05,3.320349e+05
1598340600000000000,srv0,5.516239e-02,1.462526e+05,3.514804e+05
1598340900000000000,srv0,5.665042e-02,1.599100e+05,3.531312e+05
1598341200000000000,srv0,5.845157e-02,1.538036e+05,3.651621e+05
1598341500000000000,srv0,5.766724e-02,1.581396e+05,3.661386e+05
1598341800000000000,srv0,6.004887e-02,1.561178e+05,3.817241e+05
1598342100000000000,srv0,6.019336e-02,1.599614e+05,3.862008e+05
1598342400000000000,srv0,6.462161e-02,1.690982e+05,4.143220e+05
1598342700000000000,srv0,6.576216e-02,1.731373e+05,4.214053e+05
1598343000000000000,srv0,6.657081e-02,1.760754e+05,4.221288e+05
1598343300000000000,srv0,6.751861e-02,1.911592e+05,4.392325e+05
1598343600000000000,srv0,6.799567e-02,1.814080e+05,4.410889e+05
1598343900000000000,srv0,6.935236e-02,1.882856e+05,4.426006e+05
1598344200000000000,srv0,6.996260e-02,1.853290e+05,4.574298e+05
1598344500000000000,srv0,7.272859e-02,1.999067e+05,4.657344e+05
1598344800000000000,srv0,7.310240e-02,1.912006e+05,4.761570e+05
1598345100000000000,srv0,7.394381e-02,1.961506e+05,4.720202e+05
1598345400000000000,srv0,7.557170e-02,2.028776e+05,4.972289e+05
1598345700000000000,srv0,7.589381e-02,2.068209e+05,4.943163e+05
1598346000000000000,srv0,7.933211e-02,2.126863e+05,5.010074e+05
1598346300000000000,srv0,8.012684e-02,2.202246e+05,5.320587e+05
1598346600000000000,srv0,8.189053e-02,2.150544e+05,5.334615e+05
1598346900000000000,srv0,8.341496e-02,2.227513e+05,5.458768e+05
1598347200000000000,srv0,8.461777e-02,2.209145e+05,5.431666e+05
1598347500000000000,srv0,8.330987e-02,2.250602e+05,5.497681e+05
1598347800000000000,srv0,8.470838e-02,2.287110e+05,5.520611e+05
1598348100000000000,srv0,8.570732e-02,2.334812e+05,5.629816e+05
1598348400000000000,srv0,8.757250e-02,2.267239e+05,5.577819e+05
1598348700000000000,srv0,8.593317e-02,2.323249e+05,5.603132e+05
1598349000000000000,srv0,8.722708e-02,2.336081e+05,5.774246e+05
1598349300000000000,srv0,8.956557e-02,2.397992e+05,5.659928e+05
1598349600000000000,srv0,9.097452e-02,2.362434e+05,5.875150e+05
1598349900000000000,srv0,9.112634e-02,2.415447e+05,5.925990e+05
1598350200000000000,srv0,9.117027e-02,2.429469e+05,6.073469e+05
1598350500000000000,srv0,9.074179e-02,2.492355e+05,5.951784e+05
1598350800000000000,srv0,9.133931e-02,2.410924e+05,5.833433e+05
1598351100000000000,srv0,9.004459e-02,2.498819e+05,6.039592e+05
1598351400000000000,srv0,9.136655e-02,2.478715e+05,6.235823e+05
1598351700000000000,srv0,8.994679e-02,2.459562e+05,5.992270e+05
1598352000000000000,srv0,9.339885e-02,2.406558e+05,5.895533e+05
1598352300000000000,srv0,9.144027e-02,2.466763e+05,6.101335e+05
1598352600000000000,srv0,9.239888e-02,2.534343e+05,6.208325e+05
1598352900000000000,srv0,9.273172e-02,2.520409e+05,6.001247e+05
1598353200000000000,srv0,9.442992e-02,2.500920e+05,6.137476e+05
1598353500000000000,srv0,9.349945e-02,2.567016e+05,6.341185e+05
1598353800000000000,srv0,9.491411e-02,2.489022e+05,6.139259e+05
1598354100000000000,srv0,9.468319e-02,2.509820e+05,6.123730e+05
1598354400000000000,srv0,9.534241e-02,2.594267e+05,6.386490e+05
1598354700000000000,srv0,9.445085e-02,2.524865e+05,6.059765e+05
1598355000000000000,srv0,9.888384e-02,2.542853e+05,6.393064e+05
1598355300000000000,srv0,9.583515e-02,2.560581e+05,6.183620e+05
1598355600000000000,srv0,9.552770e-02,2.569633e+05,6.235760e+05
1598355900000000000,srv0,9.557050e-02,2.631047e+05,6.439111e+05
1598356200000000000,srv0,9.715497e-02,2.527345e+05,6.234605e+05
1598356500000000000,srv0,9.878616e-02,2.635016e+05,6.525926e+05
1598356800000000000,srv0,9.717983e-02,2.602588e+05,6.358645e+05
1598357100000000000,srv0,9.936348e-02,2.641584e+05,6.628875e+05
1598357400000000000,srv0,9.858522e-02,2.610828e+05,6.240836e+05
1598357700000000000,srv0,1.006539e-01,2.726203e+05,6.802835e+05
1598358000000000000,srv0,1.000163e-01,2.637133e+05,6.407244e+05
1598358300000000000,srv0,1.017010e-01,2.704825e+05,6.736004e+05
1598358600000000000,srv0,1.004656e-01,2.654200e+05,6.471333e+05
1598358900000000000,srv0,1.002261e-01,2.660829e+05,6.542660e+05
1598359200000000000,srv0,1.004586e-01,2.669950e+05,6.665974e+05
1598359500000000000,srv0,9.988750e-02,2.664130e+05,6.421561e+05
1598359800000000000,srv0,1.018619e-01,2.645554e+05,6.625649e+05
1598360100000000000,srv0,9.907182e-02,2.693496e+05,6.380090e+05
1598360400000000000,srv0,1.006594e-01,2.664840e+05,6.733828e+05
1598360700000000000,srv0,1.014854e-01,2.714913e+05,6.511798e+05
1598361000000000000,srv0,9.877149e-02,2.573553e+05,6.599584e+05
1598361300000000000,srv0,9.764596e-02,2.631778e+05,6.276787e+05
1598361600000000000,srv0,9.973414e-02,2.704607e+05,6.715177e+05
1598361900000000000,srv0,9.810254e-02,2.683277e+05,6.349529e+05
1598362200000000000,srv0,9.784578e-02,2.654131e+05,6.635365e+05
1598362500000000000,srv0,9.897964e-02,2.673437e+05,6.336547e+05
1598362800000000000,srv0,9.795708e-02,2.650878e+05,6.688613e+05
1598363100000000000,srv0,9.807670e-02,2.596626e+05,6.235709e+05
1598363400000000000,srv0,9.832554e-02,2.636345e+05,6.668538e+05
1598363700000000000,srv0,9.738692e-02,2.636891e+05,6.359124e+05
1598364000000000000,srv0,9.851313e-02,2.598647e+05,6.492245e+05
1598364300000000000,srv0,9.522925e-02,2.609323e+05,6.271805e+05
1598364600000000000,srv0,9.635381e-02,2.604789e+05,6.551418e+05
1598364900000000000,srv0,9.671383e-02,2.604760e+05,6.203209e+05
1598365200000000000,srv0,9.725590e-02,2.551517e+05,6.444868e+05
1598365500000000000,srv0,9.474457e-02,2.562682e+05,6.145765e+05
1598365800000000000,srv0,9.463787e-02,2.532749e+05,6.315750e+05
1598366100000000000,srv0,9.447798e-02,2.503719e+05,6.214742e+05
1598366400000000000,srv0,9.439150e-02,2.510559e+05,6.086224e+05
1598366700000000000,srv0,9.453178e-02,2.573442e+05,6.299409e+05
1598367000000000000,srv0,9.295624e-02,2.540742e+05,6.290223e+05
1598367300000000000,srv0,9.396115e-02,2.516610e+05,6.012257e+05
1598367600000000000,srv0,9.379292e-02,2.466109e+05,6.113122e+05
1598367900000000000,srv0,9.366481e-02,2.504729e+05,6.180081e+05
1598368200000000000,srv0,9.320048e-02,2.496022e+05,6.082911e+05
1598368500000000000,srv0,9.344174e-02,2.536042e+05,6.082325e+05
1598368800000000000,srv0,9.408507e-02,2.464661e+05,6.191703e+05
1598369100000000000,srv0,9.304579e-02,2.560266e+05,6.056983e+05
1598369400000000000,srv0,9.309197e-02,2.435811e+05,6.062359e+05
1598369700000000000,srv0,9.330702e-02,2.461330e+05,6.160334e+05
1598370000000000000,srv0,9.494039e-02,2.471957e+05,6.072230e+05
1598370300000000000,srv0,9.470614e-02,2.555753e+05,6.228160e+05
1598370600000000000,srv0,9.380335e-02,2.458824e+05,6.152536e+05
1598370900000000000,srv0,9.479456e-02,2.589421e+05,6.288358e+05
1598371200000000000,srv0,9.162728e-02,2.373203e+05,5.795810e+05
